area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,917,2.0,0.0,42.59
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,965,2.0,1.0,80.96
Plot  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1765,3.0,2.0,88.63
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1205,2.0,2.0,59.05
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,944,2.0,0.0,50.91
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1821,3.0,1.0,124.5
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1075,2.0,2.0,65.33
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1723,4.0,2.0,79.52
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1956,3.0,1.0,76.56
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1679,4.0,2.0,220.08
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1093,2.0,1.0,82.48
Carpet  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1291,2.0,0.0,85.4
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1074,2.0,1.0,59.62
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1896,3.0,3.0,198.93
Plot  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,992,2.0,1.0,146.06
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1470,4.0,1.0,158.25
Super built-up  Area,Ready To Move,Indiranagar,1 BHK,GrnSpce,623,1.0,3.0,70.88
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1140,2.0,3.0,185.36
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,902,3.0,0.0,58.95
Plot  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1451,3.0,0.0,111.1
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1137,2.0,0.0,165.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1577,3.0,1.0,80.59
Plot  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1199,2.0,2.0,50.45
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,987,2.0,3.0,62.66
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,902,2.0,2.0,49.81
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1728,3.0,0.0,80.82
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1116,2.0,2.0,79.52
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1231,2.0,2.0,182.76
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1095,2.0,2.0,98.13
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,GrnSpce,2530,5.0,1.0,164.72
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1897,3.0,3.0,103.86
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1002,2.0,1.0,46.49
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1008,2.0,1.0,96.33
Super built-up  Area,Ready To Move,Whitefield,1 BHK,GrnSpce,723,1.0,0.0,57.4
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,900,2.0,3.0,123.57
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1861,3.0,3.0,136.59
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1095,2.0,0.0,107.42
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1978,3.0,0.0,199.1
Carpet  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1281,2.0,1.0,130.65
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1139,2.0,3.0,48.93
Plot  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1677,3.0,1.0,122.12
Plot  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1900,4.0,3.0,99.22
Plot  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1470,3.0,2.0,103.54
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1529,3.0,1.0,225.33
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,1161,2.0,0.0,172.4
Plot  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1195,2.0,0.0,176.85
Plot  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1860,3.0,1.0,54.39
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1724,4.0,1.0,76.64
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1462,4.0,3.0,53.72
Plot  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1476,3.0,3.0,60.62
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1063,3.0,0.0,62.77
Super built-up  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2855,5.0,3.0,124.1
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1148,2.0,1.0,52.57
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1012,2.0,0.0,70.73
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1952,3.0,0.0,117.82
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1117,2.0,2.0,76.5
Super built-up  Area,Ready To Move,Indiranagar,1 BHK,GrnSpce,580,2.0,1.0,79.97
Plot  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,993,2.0,2.0,40.89
Built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1111,2.0,3.0,92.94
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1033,2.0,0.0,59.91
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1216,2.0,1.0,63.13
Super built-up  Area,Ready To Move,Electronic City,4 BHK,GrnSpce,3115,4.0,2.0,122.5
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1930,4.0,2.0,97.02
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,GrnSpce,2615,4.0,2.0,135.29
Built-up  Area,Ready To Move,Bellandur,1 BHK,GrnSpce,662,2.0,0.0,48.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1884,4.0,1.0,72.26
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,913,2.0,0.0,58.93
Built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1864,4.0,3.0,155.73
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,955,2.0,1.0,41.39
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,GrnSpce,2489,4.0,2.0,165.18
Carpet  Area,Ready To Move,KR Puram,4 BHK,GrnSpce,2605,5.0,2.0,130.71
Built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1994,3.0,3.0,73.91
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1588,4.0,1.0,121.27
Carpet  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1206,2.0,3.0,138.72
Super built-up  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1675,3.0,2.0,65.17
Super built-up  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1582,4.0,0.0,98.23
Built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1867,3.0,3.0,127.25
Super built-up  Area,Ready To Move,Electronic City Phase II,5 BHK,GrnSpce,3513,5.0,1.0,176.05
Plot  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1162,2.0,2.0,56.72
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1480,3.0,1.0,134.3
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1187,2.0,2.0,56.3
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,948,2.0,0.0,63.84
Super built-up  Area,Ready To Move,Bisuvanahalli,4 BHK,GrnSpce,2606,4.0,0.0,117.41
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1188,2.0,1.0,55.54
Super built-up  Area,Ready To Move,Indiranagar,1 BHK,GrnSpce,620,1.0,2.0,88.87
Plot  Area,Ready To Move,Marathahalli,1 BHK,GrnSpce,538,2.0,3.0,33.51
Plot  Area,Ready To Move,Rajaji Nagar,1 BHK,GrnSpce,693,2.0,3.0,82.23
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1255,2.0,2.0,86.33
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,GrnSpce,545,1.0,3.0,76.21
Plot  Area,Ready To Move,Marathahalli,4 BHK,GrnSpce,2987,4.0,0.0,245.32
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1176,3.0,3.0,45.68
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1151,2.0,3.0,62.43
Super built-up  Area,Ready To Move,Sarjapur Road,4 BHK,GrnSpce,3188,5.0,3.0,196.5
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,907,2.0,3.0,53.72
Super built-up  Area,Ready To Move,Electronic City,1 BHK,GrnSpce,697,1.0,0.0,34.76
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1014,2.0,3.0,61.44
Built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,938,2.0,3.0,105.04
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1127,2.0,0.0,72.0
Plot  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,984,3.0,0.0,45.15
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1011,2.0,1.0,125.22
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1652,3.0,2.0,108.11
Plot  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1870,4.0,1.0,127.94
Built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,922,2.0,2.0,45.86
Plot  Area,Ready To Move,Marathahalli,1 BHK,GrnSpce,612,1.0,0.0,38.32
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,1192,2.0,0.0,196.36
Super built-up  Area,Ready To Move,Indiranagar,1 BHK,GrnSpce,564,1.0,3.0,87.38
Carpet  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1006,2.0,3.0,55.24
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1897,3.0,0.0,89.86
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1146,3.0,1.0,138.1
Built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,944,2.0,3.0,137.18
Built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,604,2.0,0.0,34.49
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1427,3.0,0.0,135.62
Plot  Area,Ready To Move,Kaggadasapura,1 BHK,GrnSpce,591,1.0,1.0,35.73
Plot  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1143,2.0,2.0,77.7
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1849,4.0,2.0,223.75
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1910,4.0,3.0,117.36
Super built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,581,1.0,0.0,30.21
Super built-up  Area,Ready To Move,Uttarahalli,4 BHK,GrnSpce,2751,4.0,3.0,156.08
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1422,3.0,0.0,72.55
Super built-up  Area,Ready To Move,KR Puram,1 BHK,GrnSpce,589,1.0,2.0,28.44
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1807,3.0,3.0,132.11
Super built-up  Area,Ready To Move,Bisuvanahalli,5 BHK,GrnSpce,4169,5.0,2.0,165.25
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,997,2.0,3.0,61.71
Plot  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1278,2.0,3.0,60.1
Built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1821,3.0,3.0,128.74
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1437,3.0,1.0,91.84
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,991,3.0,0.0,134.5
Super built-up  Area,Ready To Move,Malleshwaram,5 BHK,GrnSpce,3693,5.0,1.0,463.59
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1921,3.0,3.0,87.59
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1404,3.0,0.0,87.52
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,973,3.0,1.0,35.03
Plot  Area,Ready To Move,Whitefield,4 BHK,GrnSpce,3154,4.0,2.0,183.99
Plot  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,942,2.0,1.0,96.66
Super built-up  Area,Ready To Move,Kaggadasapura,4 BHK,GrnSpce,2479,4.0,3.0,133.33
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1490,3.0,2.0,172.12
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1120,2.0,1.0,115.16
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1522,3.0,3.0,179.04
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1822,3.0,2.0,76.46
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,958,2.0,1.0,88.87
Carpet  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,911,3.0,1.0,110.85
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1893,3.0,1.0,246.33
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,972,2.0,0.0,53.81
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1131,2.0,2.0,85.91
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1738,4.0,0.0,65.72
Plot  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1148,2.0,3.0,59.71
Built-up  Area,Ready To Move,Rajaji Nagar,1 BHK,GrnSpce,685,1.0,3.0,70.36
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1450,3.0,1.0,179.41
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1845,3.0,2.0,74.69
Built-up  Area,Ready To Move,Electronic City Phase II,1 BHK,GrnSpce,559,1.0,2.0,25.9
Super built-up  Area,Ready To Move,KR Puram,1 BHK,GrnSpce,525,1.0,0.0,28.72
Plot  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,968,2.0,0.0,146.43
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1602,4.0,3.0,132.8
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1429,3.0,2.0,57.89
Built-up  Area,Ready To Move,Uttarahalli,1 BHK,GrnSpce,664,2.0,2.0,29.99
Plot  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1784,3.0,3.0,238.43
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1265,2.0,2.0,70.56
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,GrnSpce,533,1.0,1.0,33.21
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,GrnSpce,3181,4.0,1.0,208.85
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1283,2.0,0.0,73.18
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1201,2.0,3.0,63.86
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1560,3.0,2.0,228.25
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1272,2.0,0.0,64.44
Built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1256,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1889,3.0,3.0,92.76
Plot  Area,Ready To Move,Whitefield,4 BHK,GrnSpce,2242,4.0,1.0,170.71
Built-up  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1746,4.0,2.0,90.37
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,927,2.0,3.0,48.62
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1905,3.0,2.0,115.74
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1000,2.0,3.0,132.95
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,GrnSpce,2246,4.0,3.0,127.12
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1427,3.0,3.0,62.87
Built-up  Area,Ready To Move,Bisuvanahalli,5 BHK,GrnSpce,4250,5.0,2.0,150.78
Built-up  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1633,3.0,2.0,98.32
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1938,3.0,3.0,175.86
Plot  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,922,2.0,1.0,38.44
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,991,2.0,2.0,46.33
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1680,4.0,1.0,85.26
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1746,3.0,1.0,223.69
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1811,3.0,3.0,110.31
Plot  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1887,3.0,0.0,80.37
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1244,3.0,1.0,70.3
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1675,3.0,0.0,62.81
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1026,2.0,0.0,46.35
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1840,3.0,0.0,85.79
Plot  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1089,2.0,0.0,119.07
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1767,4.0,2.0,121.6
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1863,3.0,0.0,194.07
Built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1259,2.0,1.0,153.23
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1779,3.0,2.0,127.48
Built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1603,3.0,1.0,85.02
Carpet  Area,Ready To Move,KR Puram,1 BHK,GrnSpce,519,1.0,3.0,24.39
Plot  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1197,2.0,1.0,82.42
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,GrnSpce,656,1.0,1.0,39.32
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1717,3.0,1.0,219.74
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1469,3.0,0.0,211.45
Super built-up  Area,Ready To Move,Electronic City,1 BHK,GrnSpce,665,1.0,3.0,30.04
Plot  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1838,3.0,2.0,104.56
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1929,3.0,3.0,133.62
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,924,2.0,1.0,48.44
Carpet  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,915,2.0,1.0,76.71
Plot  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1835,3.0,2.0,136.25
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,979,2.0,3.0,44.78
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1961,4.0,2.0,87.53
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,1273,2.0,0.0,69.86
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1928,3.0,3.0,149.52
Super built-up  Area,Ready To Move,Bisuvanahalli,1 BHK,GrnSpce,555,1.0,1.0,20.52
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1921,3.0,3.0,70.13
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,917,3.0,2.0,64.55
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1071,2.0,2.0,59.69
Built-up  Area,Ready To Move,Indiranagar,1 BHK,GrnSpce,597,2.0,1.0,94.18
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1237,2.0,1.0,59.47
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1159,2.0,3.0,68.52
Built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1838,4.0,0.0,225.38
Plot  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,949,2.0,3.0,111.98
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1430,3.0,1.0,113.11
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,954,2.0,3.0,52.76
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1657,3.0,2.0,129.75
Super built-up  Area,Ready To Move,Bisuvanahalli,4 BHK,GrnSpce,3017,5.0,2.0,134.52
Super built-up  Area,Ready To Move,Bellandur,5 BHK,GrnSpce,3911,5.0,1.0,254.07
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1953,3.0,1.0,85.66
Built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1675,3.0,0.0,126.32
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1933,3.0,2.0,107.42
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1707,3.0,3.0,91.39
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1494,3.0,1.0,85.73
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,968,2.0,0.0,74.68
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1064,3.0,2.0,69.51
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1889,4.0,0.0,92.76
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1545,4.0,2.0,155.01
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1234,3.0,0.0,71.42
Plot  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,722,2.0,2.0,71.44
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1223,2.0,1.0,58.09
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1008,2.0,2.0,38.23
Carpet  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1911,4.0,1.0,211.83
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1504,4.0,3.0,151.2
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1234,2.0,1.0,82.94
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1781,3.0,1.0,116.91
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,970,2.0,2.0,66.74
Plot  Area,Ready To Move,Hebbal,4 BHK,GrnSpce,2981,5.0,1.0,200.19
Plot  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1232,2.0,1.0,49.51
Plot  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,922,2.0,2.0,66.3
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1850,3.0,1.0,274.02
Plot  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1807,4.0,1.0,99.85
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1286,2.0,2.0,53.97
Built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1051,2.0,0.0,79.38
Plot  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1548,3.0,3.0,73.29
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1475,4.0,0.0,149.01
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1158,3.0,2.0,60.74
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1429,3.0,3.0,112.58
Plot  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1571,3.0,0.0,82.75
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1294,3.0,2.0,100.85
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1509,3.0,3.0,63.36
Super built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,706,1.0,3.0,101.36
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1409,3.0,3.0,127.25
Plot  Area,Ready To Move,Rajaji Nagar,4 BHK,GrnSpce,2533,4.0,2.0,330.69
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1407,3.0,1.0,79.85
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1703,4.0,2.0,100.8
Built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1144,2.0,3.0,76.69
Carpet  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1485,4.0,0.0,61.36
Super built-up  Area,Ready To Move,Yelahanka,4 BHK,GrnSpce,2548,4.0,0.0,139.16
Super built-up  Area,Ready To Move,Kaggadasapura,1 BHK,GrnSpce,650,1.0,3.0,32.83
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1281,2.0,3.0,57.07
Built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1599,3.0,1.0,91.84
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1130,2.0,0.0,86.56
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,1027,3.0,1.0,63.4
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1110,2.0,3.0,63.95
Built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1632,3.0,2.0,235.83
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1116,3.0,0.0,74.91
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1435,3.0,2.0,60.12
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,938,3.0,1.0,118.5
Plot  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,906,2.0,3.0,128.87
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1193,2.0,3.0,140.87
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1270,2.0,1.0,70.03
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1719,3.0,2.0,84.16
Plot  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1285,2.0,3.0,85.37
