area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1514.0,3.0,0.0,86.36,3,5704.095112285337
Super built-up  Area,Ready To Move,Kaggadasapura,4 BHK,GrnSpce,2857.0,4.0,1.0,150.37,4,5263.213160658033
Super built-up  Area,Ready To Move,Kaggadasapura,1 BHK,GrnSpce,529.0,1.0,1.0,28.72,1,5429.111531190926
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1287.0,2.0,1.0,64.01,2,4973.581973581974
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,964.0,2.0,3.0,47.11,2,4886.929460580913
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1039.0,2.0,1.0,52.6,2,5062.560153994225
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1718.0,4.0,1.0,93.22,3,5426.076833527357
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1932.0,3.0,3.0,104.17,3,5391.821946169773
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1222.0,2.0,3.0,59.74,2,4888.7070376432075
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1874.0,3.0,0.0,97.33,3,5193.703308431163
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1067.0,2.0,1.0,55.49,2,5200.562324273665
Plot  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1199.0,3.0,2.0,67.68,2,5644.7039199332785
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,909.0,2.0,0.0,46.34,2,5097.909790979098
Super built-up  Area,Ready To Move,Kaggadasapura,1 BHK,GrnSpce,596.0,1.0,1.0,32.47,1,5447.986577181208
Plot  Area,Ready To Move,Kaggadasapura,4 BHK,GrnSpce,2714.0,4.0,0.0,154.73,4,5701.179071481208
Super built-up  Area,Ready To Move,Kaggadasapura,1 BHK,GrnSpce,692.0,1.0,3.0,38.01,1,5492.774566473989
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1075.0,2.0,0.0,53.91,2,5014.883720930233
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1437.0,4.0,1.0,80.09,3,5573.416840640222
Plot  Area,Ready To Move,Kaggadasapura,1 BHK,GrnSpce,534.0,1.0,0.0,26.77,1,5013.10861423221
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1716.0,3.0,1.0,85.71,3,4994.755244755244
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1085.0,3.0,2.0,55.9,2,5152.0737327188945
Super built-up  Area,Ready To Move,Kaggadasapura,4 BHK,GrnSpce,2366.0,4.0,1.0,122.24,4,5166.525781910397
Carpet  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1525.0,3.0,3.0,80.01,3,5246.557377049181
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1540.0,4.0,0.0,86.32,3,5605.194805194805
Super built-up  Area,Ready To Move,Kaggadasapura,4 BHK,GrnSpce,2452.0,4.0,0.0,125.12,4,5102.773246329527
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1687.0,3.0,2.0,91.75,3,5438.648488441019
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,959.0,2.0,1.0,53.73,2,5602.711157455683
Super built-up  Area,Ready To Move,Kaggadasapura,1 BHK,GrnSpce,547.0,1.0,0.0,30.64,1,5601.46252285192
Super built-up  Area,Ready To Move,Kaggadasapura,1 BHK,GrnSpce,722.0,1.0,2.0,39.13,1,5419.667590027701
Super built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,703.0,2.0,0.0,40.86,1,5812.233285917497
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1090.0,2.0,0.0,60.63,2,5562.385321100917
Super built-up  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2482.0,4.0,3.0,146.07,4,5885.173247381144
Super built-up  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,3146.0,4.0,1.0,192.8,4,6128.417037507947
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1741.0,3.0,1.0,106.55,3,6120.045950603102
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1656.0,3.0,2.0,102.13,3,6167.270531400966
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1180.0,2.0,3.0,71.88,2,6091.525423728814
Built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1592.0,3.0,1.0,88.39,3,5552.13567839196
Super built-up  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2211.0,5.0,0.0,124.07,4,5611.488014473089
Plot  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1780.0,4.0,3.0,91.82,3,5158.426966292135
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1913.0,3.0,0.0,98.48,3,5147.935180345008
Plot  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2723.0,5.0,0.0,164.62,4,6045.538009548292
Super built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,560.0,1.0,0.0,32.42,1,5789.285714285715
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1087.0,2.0,1.0,62.89,2,5785.648574057038
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1789.0,3.0,3.0,103.92,3,5808.831749580771
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1046.0,3.0,1.0,54.62,2,5221.7973231357555
Super built-up  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2994.0,4.0,1.0,158.12,4,5281.2291249165
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1234.0,2.0,3.0,72.94,2,5910.8589951377635
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1603.0,3.0,3.0,97.97,3,6111.66562694947
Plot  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,688.0,2.0,2.0,38.38,1,5578.488372093024
Super built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,723.0,2.0,0.0,38.7,1,5352.697095435686
Built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1949.0,3.0,1.0,108.51,3,5567.4704976911235
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1277.0,3.0,3.0,72.1,2,5646.0454189506645
Plot  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1267.0,2.0,1.0,67.36,2,5316.495659037096
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1408.0,3.0,3.0,75.52,3,5363.636363636364
Plot  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1755.0,3.0,1.0,104.96,3,5980.626780626781
Plot  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,687.0,1.0,0.0,41.29,1,6010.18922852984
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1227.0,3.0,1.0,63.6,2,5183.3740831295845
Carpet  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1678.0,3.0,0.0,101.41,3,6043.504171632896
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1057.0,2.0,1.0,58.59,2,5543.046357615894
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1282.0,2.0,2.0,70.31,2,5484.399375975039
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,988.0,3.0,3.0,61.41,2,6215.587044534413
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1177.0,3.0,1.0,67.57,2,5740.866610025488
Plot  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1601.0,3.0,3.0,95.22,3,5947.532792004997
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1179.0,2.0,3.0,72.58,2,6156.064461407973
Super built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,710.0,1.0,2.0,44.25,1,6232.394366197183
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1422.0,3.0,2.0,84.1,3,5914.205344585092
Super built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,547.0,1.0,3.0,28.25,1,5164.53382084095
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1005.0,2.0,3.0,62.73,2,6241.79104477612
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1230.0,3.0,2.0,70.96,2,5769.10569105691
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1792.0,3.0,2.0,95.72,3,5341.517857142857
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,982.0,2.0,3.0,56.32,2,5735.234215885947
Built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1412.0,3.0,0.0,77.69,3,5502.1246458923515
Carpet  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1643.0,3.0,0.0,95.55,3,5815.581253804017
Super built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,536.0,2.0,1.0,29.7,1,5541.044776119403
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1422.0,3.0,0.0,86.36,3,6073.1364275668075
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1249.0,2.0,3.0,66.13,2,5294.635708566853
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1043.0,2.0,0.0,65.3,2,6260.7861936721
Plot  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1194.0,2.0,1.0,73.57,2,6161.641541038525
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1867.0,3.0,3.0,96.59,3,5173.540439207284
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1232.0,3.0,2.0,76.96,2,6246.753246753246
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1077.0,2.0,2.0,56.49,2,5245.1253481894155
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,964.0,3.0,0.0,54.29,2,5631.7427385892115
Plot  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,675.0,1.0,3.0,39.89,1,5909.62962962963
Plot  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1579.0,3.0,1.0,90.01,3,5700.443318556048
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,902.0,2.0,2.0,49.81,2,5522.172949002217
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1897.0,3.0,3.0,103.86,3,5474.960463890353
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1216.0,2.0,1.0,63.13,2,5191.611842105263
Built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,604.0,2.0,0.0,34.49,1,5710.264900662251
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1910.0,4.0,3.0,117.36,3,6144.502617801048
Super built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,581.0,1.0,0.0,30.21,1,5199.6557659208265
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1201.0,2.0,3.0,63.86,2,5317.2356369691925
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,954.0,2.0,3.0,52.76,2,5530.398322851153
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1933.0,3.0,2.0,107.42,3,5557.165028453182
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1158.0,3.0,2.0,60.74,2,5245.250431778929
Built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1599.0,3.0,1.0,91.84,3,5743.589743589743
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1908.0,4.0,2.0,116.56,3,6109.014675052411
Plot  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2957.0,4.0,2.0,175.92,4,5949.272911734866
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1849.0,3.0,2.0,104.98,3,5677.663601946999
Plot  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1200.0,2.0,1.0,72.87,2,6072.5
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,973.0,2.0,3.0,56.27,2,5783.144912641315
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1003.0,2.0,0.0,53.33,2,5317.048853439681
Carpet  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1044.0,2.0,2.0,65.16,2,6241.379310344828
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1077.0,2.0,3.0,56.79,2,5272.980501392758
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1150.0,2.0,0.0,70.1,2,6095.652173913043
Built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1477.0,3.0,1.0,91.42,3,6189.57345971564
Super built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,653.0,1.0,1.0,37.23,1,5701.378254211331
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1065.0,2.0,2.0,65.5,2,6150.234741784037
Plot  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,906.0,2.0,2.0,51.27,2,5658.940397350993
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1054.0,2.0,2.0,61.19,2,5805.502846299811
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1095.0,2.0,2.0,62.44,2,5702.2831050228315
Carpet  Area,Ready To Move,Kanakapura Road,5 BHK,GrnSpce,3903.0,5.0,1.0,202.43,5,5186.523187291827
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1109.0,2.0,2.0,61.01,2,5501.352569882777
Built-up  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2943.0,4.0,3.0,170.56,4,5795.446822969759
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,961.0,2.0,0.0,52.35,2,5447.450572320499
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1859.0,4.0,2.0,102.43,3,5509.951586874664
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1179.0,2.0,1.0,69.92,2,5930.449533502969
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,955.0,3.0,3.0,58.4,2,6115.1832460732985
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1299.0,3.0,2.0,73.63,2,5668.206312548114
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,973.0,2.0,2.0,55.45,2,5698.869475847893
Built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,743.0,1.0,1.0,38.52,1,5184.387617765815
Plot  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1076.0,2.0,0.0,64.83,2,6025.092936802974
Plot  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1218.0,2.0,3.0,62.72,2,5149.425287356322
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1166.0,2.0,2.0,68.38,2,5864.493996569468
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1076.0,2.0,3.0,58.42,2,5429.368029739777
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1166.0,2.0,1.0,63.4,2,5437.392795883362
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1129.0,2.0,2.0,67.3,2,5961.027457927369
Plot  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,525.0,1.0,1.0,30.36,1,5782.857142857143
Plot  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2430.0,4.0,0.0,134.24,4,5524.279835390947
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1889.0,4.0,3.0,116.54,3,6169.4017998941235
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,944.0,3.0,0.0,57.34,2,6074.152542372882
Carpet  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1119.0,2.0,1.0,62.11,2,5550.491510277033
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1211.0,3.0,1.0,68.2,2,5631.7093311312965
Super built-up  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2210.0,5.0,2.0,133.41,4,6036.651583710407
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1284.0,2.0,0.0,79.67,2,6204.828660436137
Super built-up  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2997.0,4.0,2.0,183.19,4,6112.445779112446
Plot  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1631.0,3.0,3.0,96.49,3,5916.002452483139
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1573.0,3.0,2.0,92.32,3,5869.0400508582325
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1739.0,3.0,0.0,234.06,3,13459.45945945946
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1245.0,2.0,2.0,169.54,2,13617.670682730924
Built-up  Area,Ready To Move,Koramangala,4 BHK,GrnSpce,2236.0,4.0,0.0,297.72,4,13314.847942754921
Super built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,737.0,1.0,1.0,94.03,1,12758.480325644505
Built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1851.0,4.0,3.0,267.7,3,14462.452728254997
Super built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,692.0,1.0,2.0,95.82,1,13846.820809248555
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1217.0,2.0,0.0,161.47,2,13267.871815940838
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1080.0,2.0,0.0,143.44,2,13281.481481481482
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1827.0,4.0,1.0,239.71,3,13120.415982484948
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1119.0,2.0,1.0,156.24,2,13962.466487935657
Built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,689.0,2.0,2.0,90.68,1,13161.1030478955
Carpet  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,929.0,2.0,3.0,126.24,2,13588.80516684607
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1005.0,2.0,1.0,129.16,2,12851.74129353234
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1185.0,2.0,3.0,172.9,2,14590.717299578058
Super built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,623.0,2.0,3.0,81.5,1,13081.861958266452
Built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1950.0,4.0,0.0,271.29,3,13912.307692307695
Plot  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,537.0,1.0,1.0,72.8,1,13556.797020484171
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1146.0,2.0,0.0,140.38,2,12249.56369982548
Built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1765.0,3.0,3.0,249.99,3,14163.739376770538
Built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1223.0,2.0,1.0,157.56,2,12883.074407195421
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1962.0,3.0,0.0,282.79,3,14413.353720693172
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1254.0,2.0,0.0,154.23,2,12299.043062200955
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1083.0,2.0,1.0,143.66,2,13265.00461680517
Plot  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1496.0,3.0,2.0,212.49,3,14203.877005347593
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1834.0,3.0,1.0,270.27,3,14736.641221374046
Plot  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1677.0,4.0,3.0,219.0,3,13059.033989266547
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,901.0,2.0,2.0,121.76,2,13513.873473917869
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1424.0,3.0,1.0,204.42,3,14355.337078651686
Built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1777.0,3.0,2.0,241.45,3,13587.507034327518
Plot  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1167.0,2.0,2.0,160.34,2,13739.502999143102
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1914.0,3.0,3.0,276.04,3,14422.152560083596
Plot  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1819.0,3.0,0.0,235.83,3,12964.815832875207
Plot  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1722.0,3.0,0.0,238.77,3,13865.853658536585
Built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,660.0,1.0,0.0,90.28,1,13678.787878787878
Plot  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,734.0,1.0,2.0,96.75,1,13181.198910081745
Built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1247.0,2.0,2.0,175.74,2,14093.023255813954
Built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1008.0,2.0,0.0,142.29,2,14116.07142857143
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,992.0,2.0,1.0,142.34,2,14348.790322580646
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1812.0,4.0,3.0,240.19,3,13255.51876379691
Super built-up  Area,Ready To Move,Koramangala,4 BHK,GrnSpce,2398.0,5.0,2.0,355.04,4,14805.671392827357
Super built-up  Area,Ready To Move,Koramangala,5 BHK,GrnSpce,4486.0,5.0,3.0,584.05,5,13019.393669193043
Carpet  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,712.0,1.0,3.0,101.02,1,14188.202247191011
Built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1786.0,4.0,3.0,219.51,3,12290.593505039194
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1886.0,3.0,3.0,228.96,3,12139.978791092259
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1178.0,2.0,0.0,148.87,2,12637.521222410865
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1237.0,3.0,1.0,174.71,2,14123.686337914309
Built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1062.0,2.0,0.0,148.99,2,14029.190207156309
Plot  Area,Ready To Move,Koramangala,5 BHK,GrnSpce,4074.0,5.0,1.0,495.05,5,12151.448208149239
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1175.0,2.0,3.0,153.58,2,13070.638297872341
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1402.0,4.0,3.0,189.73,3,13532.81027104137
Super built-up  Area,Ready To Move,Koramangala,5 BHK,GrnSpce,4369.0,5.0,0.0,530.0,5,12130.922407873655
Super built-up  Area,Ready To Move,Koramangala,4 BHK,GrnSpce,2748.0,4.0,1.0,347.76,4,12655.021834061135
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1137.0,2.0,0.0,165.0,2,14511.873350923483
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1529.0,3.0,1.0,225.33,3,14737.083060824069
Plot  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1195.0,2.0,0.0,176.85,2,14799.163179916319
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,991.0,3.0,0.0,134.5,2,13572.149344096872
Carpet  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,911.0,3.0,1.0,110.85,2,12167.94731064764
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1560.0,3.0,2.0,228.25,3,14631.410256410256
Built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1259.0,2.0,1.0,153.23,2,12170.77045274027
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1469.0,3.0,0.0,211.45,3,14394.145677331519
Super built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,706.0,1.0,3.0,101.36,1,14356.940509915014
Built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1632.0,3.0,2.0,235.83,3,14450.367647058823
Super built-up  Area,Ready To Move,Koramangala,4 BHK,GrnSpce,3134.0,4.0,2.0,414.94,4,13239.948947032546
Plot  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1684.0,3.0,3.0,240.96,3,14308.788598574822
Built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,929.0,2.0,1.0,133.1,2,14327.233584499461
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1736.0,3.0,3.0,222.67,3,12826.612903225807
Plot  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,937.0,2.0,0.0,125.63,2,13407.684098185699
Carpet  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,616.0,1.0,1.0,81.45,1,13222.402597402597
Plot  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1119.0,2.0,1.0,151.56,2,13544.235924932977
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1101.0,2.0,2.0,160.63,2,14589.464123524069
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1284.0,2.0,1.0,179.71,2,13996.105919003116
Built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1550.0,3.0,1.0,199.88,3,12895.483870967742
Carpet  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,589.0,1.0,0.0,74.24,1,12604.4142614601
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1672.0,3.0,1.0,202.09,3,12086.722488038278
Plot  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1210.0,2.0,0.0,164.74,2,13614.876033057852
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1570.0,3.0,0.0,219.32,3,13969.426751592357
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1196.0,2.0,1.0,149.06,2,12463.210702341137
Super built-up  Area,Ready To Move,Koramangala,4 BHK,GrnSpce,2736.0,4.0,0.0,386.69,4,14133.406432748538
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1179.0,2.0,0.0,165.45,2,14033.078880407124
Built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,597.0,2.0,3.0,83.53,1,13991.624790619766
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1926.0,3.0,3.0,243.35,3,12634.994807892004
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1910.0,4.0,1.0,232.35,3,12164.921465968586
Carpet  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,997.0,2.0,2.0,128.5,2,12888.665997993981
